Date,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0.8
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0.8
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0.8
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0.8
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
7.01,0
7.06,0
7.11,0
7.16,0
7.21,0
7.26,0
7.31,0
7.36,0.8
7.41,1.6
7.46,26.6
7.51,33.3
7.56,37.5
8.01,40.8
8.06,45
8.11,48.3
8.16,51.7
8.21,55.8
8.26,60
8.31,63.3
8.36,66.6
8.41,70
8.46,73.3
8.51,77.5
8.56,80.8
9.01,65
9.06,21.6
9.11,27.5
9.16,93.3
9.21,96.7
9.26,100.8
9.31,105.8
9.36,108.3
9.41,111.7
9.46,115
9.51,118.3
9.56,123.3
10.01,130.8
10.06,75.8
10.11,126.6
10.16,134.1
10.21,135.8
10.26,139.1
10.31,144.2
10.36,160
10.41,184.2
10.46,157.5
10.51,120
10.56,73.3
11.01,73.3
11.06,100.8
11.11,194.1
11.16,164.2
11.21,170
11.26,165
11.31,170
11.36,105
11.41,161.7
11.46,161.6
11.51,162.5
11.56,162.5
12.01,162.5
12.06,163.3
12.11,163.3
12.16,162.5
12.21,162.5
12.26,162.5
12.31,160.8
12.36,161.7
12.41,160.8
12.46,159.2
12.51,156.6
12.56,155.8
13.01,155
13.06,153.3
13.11,150.8
13.16,149.2
13.21,147.5
13.26,145
13.31,143.3
13.36,140
13.41,136.7
13.46,137.5
13.51,132.5
13.56,130
14.01,127.5
14.06,125.8
14.11,109.2
14.16,83.3
14.21,112.5
14.26,109.1
14.31,105
14.36,110.8
14.41,104.2
14.46,85
14.51,90.8
14.56,87.5
15.01,69.1
15.06,32.5
15.11,36.6
15.16,48.3
15.21,38.3
15.26,40
15.31,36.6
15.36,25.8
15.41,28.3
15.46,2.5
15.51,4.2
15.56,12.5
16.01,2.5
16.06,2.5
16.11,0.8
16.16,0.8
16.21,11.6
16.26,1.6
16.31,13.3
16.36,9.1
16.41,5.8
16.46,2.5
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0.8
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0.8
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0
22.51,0.3
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0
23.46,0
23.51,
23.56,
