date,temp
0.01,21.5
0.06,21.47
0.11,21.4
0.16,21.43
0.21,21.33
0.26,21.3
0.31,21.47
0.36,21.43
0.41,21.4
0.46,21.47
0.51,21.56
0.56,21.63
1.01,21.66
1.06,21.67
1.11,21.73
1.16,21.7
1.21,21.63
1.26,21.63
1.31,21.57
1.36,21.6
1.41,21.5
1.46,21.53
1.51,21.56
1.56,21.6
2.01,21.63
2.06,21.73
2.11,21.63
2.16,21.6
2.21,21.66
2.26,21.66
2.31,21.6
2.36,21.56
2.41,21.47
2.46,21.37
2.51,21.27
2.56,21.16
3.01,21.13
3.06,21.13
3.11,21.23
3.16,21.23
3.21,21.26
3.26,21.3
3.31,21.26
3.36,21.16
3.41,21.03
3.46,21.07
3.51,21.1
3.56,21.13
4.01,21.13
4.06,21.17
4.11,21.17
4.16,21.1
4.21,21.06
4.26,21.03
4.31,21
4.36,21
4.41,20.86
4.46,20.8
4.51,20.66
4.56,20.63
5.01,20.6
5.06,20.6
5.11,20.57
5.16,20.5
5.21,20.5
5.26,20.53
5.31,20.47
5.36,20.4
5.41,20.36
5.46,20.26
5.51,20.23
5.56,20.16
6.01,20.1
6.06,19.93
6.11,19.93
6.16,19.86
6.21,19.9
6.26,19.83
6.31,19.86
6.36,19.9
6.41,19.83
6.46,19.7
6.51,19.7
6.56,19.7
7.01,19.7
7.06,19.7
7.11,19.73
7.16,19.56
7.21,19.53
7.26,19.6
7.31,19.7
7.36,19.9
7.41,20.06
7.46,19.9
7.51,19.86
7.56,19.86
8.01,19.96
8.06,19.93
8.11,20.13
8.16,20.46
8.21,20.83
8.26,21
8.31,21.16
8.36,21.3
8.41,21.53
8.46,21.73
8.51,21.9
8.56,21.93
9.01,22.03
9.06,22.43
9.11,22.63
9.16,22.66
9.21,22.83
9.26,23.03
9.31,23
9.36,22.8
9.41,23.3
9.46,23.4
9.51,23.53
9.56,23.53
10.06,23.7
10.11,24.4
10.16,24.7
10.21,23.83
10.26,24.3
10.31,24.63
10.36,24.46
10.41,24.13
10.46,24.3
10.51,24.33
10.56,24.47
11.01,24.87
11.06,24.97
11.11,25.06
11.16,25.03
11.21,25.16
11.26,25.7
11.31,25.73
11.36,25.63
11.41,26
11.46,25.97
11.51,26.5
12.01,26.23
12.06,26.33
12.11,26.66
12.16,26.8
12.21,26.86
12.26,27.27
12.31,27.2
12.36,26.96
12.41,26.93
12.46,26.33
12.51,26.2
13.01,26.2
13.06,25.87
13.11,26.53
13.16,26.16
13.21,25.97
13.26,26.16
13.31,26.73
13.36,26.93
13.41,27.06
13.46,26.47
13.51,26.63
14.01,26.43
14.06,26.56
14.11,26.83
14.16,26.87
14.21,26.96
14.26,27.2
14.31,26.76
14.36,26.93
14.41,26.9
14.46,26.53
14.51,26.83
14.56,26.43
15.01,26.6
15.06,26.73
15.11,26.53
15.16,26.77
15.21,26.4
15.26,26.17
15.31,26.23
15.36,26.23
15.41,25.76
15.46,25.87
15.51,25.83
15.56,25.7
16.01,25.6
16.06,25.53
16.11,25.43
16.16,25.33
16.21,25.16
16.26,25.13
16.31,25.13
16.36,24.9
16.41,24.83
16.46,24.76
16.51,24.63
16.56,24.57
17.01,24.43
17.06,24.37
17.11,24.23
17.16,24.2
17.21,24.06
17.26,24
17.31,24.03
17.36,23.96
17.41,23.9
17.46,23.86
17.51,23.77
17.56,23.73
18.01,23.73
18.06,23.73
18.11,23.73
18.16,23.7
18.21,23.66
18.26,23.6
18.31,23.6
18.36,23.6
18.41,23.5
18.46,23.56
18.51,23.57
18.56,23.6
19.01,23.57
19.06,23.6
19.11,23.6
19.16,23.57
19.21,23.57
19.26,23.53
19.31,23.46
19.36,23.53
19.41,23.53
19.46,23.5
19.51,23.4
19.56,23.43
20.01,23.46
20.06,23.46
20.11,23.5
20.16,23.4
20.21,23.4
20.26,23.43
20.31,23.47
20.36,23.43
20.41,23.46
20.46,23.53
20.51,23.43
20.56,23.4
21.01,23.36
21.06,23.3
21.11,23.26
21.16,23.2
21.21,23.2
21.26,23.16
21.31,23.1
21.36,23.03
21.41,22.96
21.46,22.86
21.51,23.03
21.56,23
22.01,22.83
22.06,22.73
22.11,22.63
22.16,22.63
22.21,22.57
22.26,22.5
22.31,22.47
22.36,22.36
22.41,22.33
22.46,22.27
22.51,22.2
22.56,22.16
23.01,22.06
23.06,21.96
23.11,21.9
23.16,21.83
23.21,21.77
23.26,21.73
23.31,21.9
23.36,21.77
23.41,21.6
23.46,21.6
23.51,21.56
23.56,21.6
