date,temp,
12.36 ,27.83,
12.41 ,27.93,0
12.46 ,28.37,
12.51 ,28.16,
12.56 ,27.96,
13.01 ,28.27,
13.06 ,28.7,
13.11 ,28.3,
13.16 ,28.63,
13.21 ,28.9,
13.26 ,28.76,
13.31 ,28.63,
13.36 ,28.57,
13.41 ,28.97,
13.46 ,29.2,
13.51 ,29.17,
13.56 ,29.23,
14.01 ,29.23,
14.06 ,29.13,
14.11 ,29.13,
14.16 ,28.93,
14.21 ,29.13,
14.26 ,28.46,
14.31 ,28.87,
14.36 ,29.06,
14.41 ,29.23,
14.46 ,29,
14.51 ,29.17,
14.56 ,29.2,
15.01 ,29.1,
15.06 ,29.03,
15.11 ,28.97,
15.16 ,28.9,
15.21 ,28.83,
15.26 ,28.53,
15.31 ,28.5,
15.36 ,28.4,
15.41 ,28.4,
15.46 ,28.4,
15.51 ,28.33,
15.56 ,28.36,
16.01 ,28.13,
16.05 ,28.06,
16.09 ,27.97,
16.13 ,27.8,
16.17 ,27.7,
16.21 ,27.6,
16.25 ,27.53,
16.29 ,27.4,
16.33 ,27.3,
16.37 ,27.2,
16.41 ,27.06,
16.45 ,26.93,
17.01 ,26.93,
17.05 ,26.86,
17.09 ,26.73,
17.13 ,26.66,
17.17 ,26.6,
17.21 ,26.6,
17.25 ,26.7,
17.29 ,26.53,
17.33 ,26.47,
17.37 ,26.5,
17.41 ,26.53,
17.45 ,26.43,
18.01 ,26.5,
18.06 ,26.46,
18.11 ,26.2,
18.16 ,26.23,
18.21 ,26.43,
18.26 ,26.4,
18.31 ,26.53,
18.36 ,26.43,
18.41 ,26.2,
18.46 ,26.03,
18.51 ,26.1,
18.56 ,26.17,
19.01 ,26.16,
19.06 ,26.16,
19.11 ,26.2,
19.16 ,26.13,
19.21 ,26.17,
19.26 ,26.1,
19.31 ,26.03,
19.36 ,26.03,
19.41 ,26,
19.46 ,26.03,
19.51 ,25.9,
19.56 ,25.93,
20.01 ,25.8,
20.06 ,25.73,
20.11 ,25.76,
20.16 ,25.66,
20.21 ,25.73,
20.26 ,25.73,
20.31 ,25.6,
20.36 ,25.66,
20.41 ,25.67,
20.46 ,25.73,
20.51 ,25.8,
20.56 ,25.8,
21.01 ,25.73,
21.06 ,25.7,
21.11 ,25.67,
21.16 ,25.63,
21.21 ,25.66,
21.26 ,25.66,
21.31 ,25.6,
21.36 ,25.63,
21.41 ,25.6,
21.46 ,25.53,
21.51 ,25.5,
21.56 ,25.47,
22.01 ,25.4,
22.06 ,25.3,
22.11 ,25.4,
22.16 ,25.33,
22.21 ,25.27,
22.26 ,25.23,
22.31 ,25.26,
22.36 ,25.26,
22.41 ,25.33,
22.46 ,25.36,
22.51 ,25.37,
22.56 ,25.4,
23.01 ,25.43,
23.06 ,25.43,
23.11 ,25.4,
23.16 ,25.33,
23.21 ,25.27,
23.26 ,25.23,
23.31 ,25.23,
23.36 ,25.2,
23.41 ,25.2,
23.46 ,25.1,
23.51 ,25.07,
23.56 ,25.03,
