Date,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0.8
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0.8
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
7.01,0
7.06,0
7.11,0
7.16,0
7.21,0
7.26,0
7.31,0
7.36,2.5
7.41,3.3
7.46,5
7.51,14.1
7.56,8.3
8.01,10.8
8.06,11.6
8.11,15
8.16,14.1
8.21,12.5
8.26,14.1
8.31,34.1
8.36,24.1
8.41,25
8.46,26.6
8.51,15
8.56,15.8
9.01,16.6
9.06,19.1
9.11,21.6
9.16,30.8
9.21,29.2
9.26,30.8
9.31,30.8
9.36,32.5
9.41,33.3
9.46,30
9.51,37.5
9.56,36.7
10.01,39.1
10.06,41.6
10.11,56.6
10.16,37.5
10.21,43.3
10.26,45
10.31,39.2
10.36,41.6
10.41,47.5
10.46,41.6
10.51,47.5
10.56,49.2
11.01,49.2
11.06,67.5
11.11,69.2
11.16,61.7
11.21,66.7
11.26,51.6
11.31,56.7
11.36,50.8
11.41,56.7
11.46,55
11.51,50.8
11.56,47.5
12.01,50
12.06,47.5
12.11,50
12.16,65.8
12.21,65.8
12.26,46.6
12.31,50.8
12.36,54.2
12.41,60
12.46,55
12.51,55
12.56,52.5
13.01,49.1
13.06,61.7
13.11,63.3
13.16,52.5
13.21,53.3
13.26,51.7
13.31,48.3
13.36,45.8
13.41,43.3
13.46,42.5
13.51,45.8
13.56,43.3
14.01,35.8
14.06,33.3
14.11,32.5
14.16,30
14.21,30
14.26,35.8
14.31,35.8
14.36,39.1
14.41,30
14.46,32.5
14.51,29.1
14.56,25.8
15.01,22.5
15.06,16.6
15.11,26.6
15.16,19.1
15.21,19.2
15.26,15
15.31,19.1
15.36,14.1
15.41,10
15.46,10
15.51,6.6
15.56,5.8
16.01,13.3
16.06,8.3
16.11,5.8
16.16,2.5
16.21,0
16.26,0.8
16.31,0
16.36,0
16.41,2.5
16.46,2.5
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0.8
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0.3
22.46,0
22.51,0
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,
23.46,
23.51,
23.56,
