Date,Soalr
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0
6.16,0.8
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,1.6
7.01,3.3
7.06,5.8
7.11,7.5
7.16,8.3
7.21,10.8
7.26,14.2
7.31,31.6
7.36,22.5
7.41,31.6
7.46,21.6
7.51,29.2
7.56,25
8.01,23.3
8.06,26.6
8.11,38.3
8.16,40.8
8.21,45.8
8.26,51.6
8.31,62.5
8.36,67.5
8.41,75.8
8.46,47.5
8.51,46.7
8.56,35
9.01,80.8
9.06,86.7
9.11,93.3
9.16,100.8
9.21,100
9.26,109.1
9.31,114.1
9.36,121.6
9.41,128.3
9.46,130.8
9.51,135.8
9.56,132.5
10.01,137.5
10.06,151.7
10.11,154.2
10.16,154.1
10.21,145
10.26,80
10.31,67.5
10.36,82.5
10.41,80
10.46,96.7
10.51,85.8
10.56,78.3
11.01,105.8
11.06,102.5
11.11,118.3
11.16,101.6
11.21,127.5
11.26,128.3
11.31,140
11.36,139.2
11.41,150
11.46,150.8
11.51,148.3
11.56,158.3
12.01,158.3
12.06,158.3
12.11,157.5
12.16,156.6
12.21,157.5
12.26,157.5
12.31,156.6
12.36,155.8
12.41,155.8
12.46,155.8
12.51,154.1
12.56,153.3
13.01,151.7
13.06,143.3
13.11,82.5
13.16,146.6
13.21,133.3
13.26,123.3
13.31,140
13.36,137.5
13.41,116.6
13.46,102.5
13.51,110.8
13.56,92.5
14.01,85
14.06,60.8
14.11,80
14.16,88.3
14.21,83.3
14.26,105
14.31,84.1
14.36,70
14.41,64.2
14.46,56.6
14.51,60.8
14.56,30
15.01,72.5
15.06,85
15.11,80
15.16,59.2
15.21,10.8
15.26,10.8
15.31,26.7
15.36,19.1
15.41,15
15.46,12.5
15.51,15.8
15.56,15.8
16.01,14.1
16.06,14.2
16.11,9.1
16.16,8.3
16.21,7.5
16.26,5.8
16.31,4.1
16.36,4.1
16.41,2.5
16.46,0.8
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0.8
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0.8
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0.8
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0
22.51,0.3
22.56,0
23.01,0
23.06,0.8
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0
23.46,0
23.51,
23.56,
