Date,Saolr
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0.8
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0
6.16,0.8
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
7.01,0
7.06,0
7.11,0.8
7.16,0
7.21,0
7.26,0.8
7.31,0.8
7.36,1.6
7.41,25
7.46,28.3
7.51,31.6
7.56,35
8.01,39.2
8.06,43.3
8.11,45.8
8.16,50
8.21,54.2
8.26,57.5
8.31,60.8
8.36,64.2
8.41,68.3
8.46,71.7
8.51,75.8
8.56,55.8
9.01,43.3
9.06,13.3
9.11,88.3
9.16,91.6
9.21,95
9.26,99.1
9.31,101.6
9.36,105
9.41,108.3
9.46,110.8
9.51,113.3
9.56,116.6
10.01,119.1
10.06,122.5
10.11,125.8
10.16,127.5
10.21,130.8
10.26,133.3
10.31,135
10.36,136.7
10.41,138.3
10.46,140.8
10.51,142.5
10.56,144.1
11.01,146.6
11.06,147.5
11.11,149.1
11.16,150.8
11.21,151.7
11.26,153.3
11.31,154.1
11.36,155
11.41,156.6
11.46,156.7
11.51,158.3
11.56,159.1
12.01,159.2
12.06,158.3
12.11,160
12.16,160
12.21,158.3
12.26,159.2
12.31,158.3
12.36,156.7
12.41,156.6
12.46,155
12.51,154.1
12.56,153.3
13.01,152.5
13.06,150.8
13.11,149.2
13.16,146.6
13.21,144.2
13.26,144.2
13.31,142.5
13.36,142.5
13.41,140.8
13.46,138.3
13.51,135.8
13.56,135
14.01,131.6
14.06,130
14.11,132.5
14.16,126.7
14.21,123.3
14.26,117.5
14.31,117.5
14.36,120
14.41,93.3
14.46,83.3
14.51,80
14.56,76.6
15.01,13.3
15.06,70.8
15.11,66.7
15.16,59.2
15.21,6.7
15.26,6.6
15.31,5
15.36,5.8
15.41,22.5
15.46,37.5
15.51,22.5
15.56,30.8
16.01,9.2
16.06,4.1
16.11,3.3
16.16,3.3
16.21,3.3
16.26,3.3
16.31,5.8
16.36,3.3
16.41,0.8
16.46,0
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0.8
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0.4
22.51,0
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0
23.46,
23.51,
23.56,
