Date ,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0.8
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0.8
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0.8
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0.8
6.46,0
6.51,0
6.56,0
7.01,0
7.06,0
7.11,0
7.16,0
7.21,3.3
7.26,8.3
7.31,10.8
7.36,15.8
7.41,0.8
7.46,0.8
7.51,1.6
7.56,1.7
8.01,1.7
8.06,3.3
8.11,41.6
8.16,45.8
8.21,49.1
8.26,52.5
8.31,56.7
8.36,60.8
8.41,60
8.46,12.5
8.51,5.8
8.56,15.8
9.01,79.2
9.06,82.5
9.11,86.7
9.16,89.2
9.21,92.5
9.26,95.8
9.31,99.2
9.36,102.5
9.41,106.6
9.46,109.2
9.51,113.3
9.56,116.7
10.01,124.2
10.06,129.1
10.11,110.8
10.16,136.7
10.21,121.6
10.26,134.1
10.31,139.1
10.36,123.3
10.41,115
10.46,145.8
10.51,147.5
10.56,149.2
11.01,150.8
11.06,137.5
11.11,126.6
11.16,118.3
11.21,125
11.26,115
11.31,129.1
11.36,128.3
11.41,150
11.46,158.3
11.51,119.1
11.56,127.5
12.01,133.3
12.06,159.2
12.11,160.8
12.16,153.3
12.21,155
12.26,158.3
12.31,149.2
12.36,151.6
12.41,138.3
12.46,130
12.51,131.6
12.56,134.1
13.01,130
13.06,132.5
13.11,135.8
13.16,122.5
13.21,108.3
13.26,112.5
13.31,119.1
13.36,115.8
13.41,121.6
13.46,122.5
13.51,119.2
13.56,112.5
14.01,75.8
14.06,76.7
14.11,11.7
14.16,18.3
14.21,26.7
14.26,10
14.31,8.3
14.36,11.7
14.41,24.2
14.46,69.2
14.51,71.7
14.56,67.5
15.01,48.3
15.06,20.8
15.11,32.5
15.16,42.5
15.21,20
15.26,18.3
15.31,24.1
15.36,20.8
15.41,15.8
15.46,5.8
15.51,4.1
15.56,6.7
16.01,5
16.06,3.3
16.11,2.5
16.16,2.5
16.21,0.8
16.26,0
16.31,0
16.36,0
16.41,0
16.46,0
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0.8
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0.8
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0
22.51,0
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0.8
23.46,0
23.51,0
23.56,0
